key,loudness,tempo,duration_ms,playlist_uri
8,-2.906,136.036,173067,2
9,-8.311,147.715,279867,0
0,-10.422,118.871,152267,0
11,-10.809,148.037,151985,1
8,-15.108,91.986,151304,1
1,-6.142,76.483,200040,0
2,-1.968,194.969,175307,2
1,-10.971,110.578,161533,0
8,-16.382,113.416,334933,1
5,-6.175,135.983,208187,2
8,-12.562,79.996,121453,1
4,-7.513,169.89,231882,2
2,-7.457,124.995,261120,1
4,-14.151,119.078,132941,1
11,-8.59,124.021,171599,1
11,-6.261,93.034,176413,0
4,-7.304,197.923,252280,0
6,-6.173,149.977,205960,0
9,-16.561,178.322,317800,1
10,-6.583,107.0,283600,0
4,-7.143,126.977,257431,1
5,-22.669,77.275,245067,1
1,-12.374,158.005,150380,1
2,-22.546,60.484,282320,1
9,-4.133,78.012,162760,2
9,-8.42,176.107,211787,0
3,-2.141,91.041,149053,2
11,-6.818,146.053,177533,2
9,-6.982,97.155,182493,0
3,-15.629,119.994,346587,1
8,-13.516,80.372,99307,1
2,-8.566,173.087,196000,2
4,-12.385,94.004,234120,0
1,-5.141,105.128,260034,2
7,-9.054,78.003,103077,1
9,-11.088,152.084,159680,0
5,-3.848,103.027,276320,0
